Sample_ID,Test_Date,Batch,Analyst,Instrument_ID,Lower_Limit,Upper_Limit,pH_Result,Status,Remarks,Disposition
L046,2026-07-16,B110,A1,pH-02,6.5,8.5,7.4,OK,Result within acceptance limits,Reported
L047,2026-07-17,B110,A2,pH-02,6.5,8.5,6.84,OK,Result within acceptance limits,Reported
L048,2026-07-18,B110,A3,pH-02,6.5,8.5,7.01,OK,Result within acceptance limits,Reported
L049,2026-07-19,B110,A1,pH-02,6.5,8.5,7.21,OK,Result within acceptance limits,Reported
L050,2026-07-20,B110,A2,pH-02,6.5,8.5,7.18,OK,Result within acceptance limits,Reported
L051,2026-07-21,B111,A3,pH-02,6.5,8.5,7.13,OK,Result within acceptance limits,Reported
L052,2026-07-22,B111,A1,pH-02,6.5,8.5,7.63,OK,Result within acceptance limits,Reported
L053,2026-07-23,B111,A2,pH-02,6.5,8.5,6.28,FAIL,Out-of-specification result; repeat and investigation required,OOS investigation
L054,2026-07-24,B111,A3,pH-02,6.5,8.5,7.13,OK,Result within acceptance limits,Reported
L055,2026-07-25,B111,A1,pH-02,6.5,8.5,7.33,OK,Result within acceptance limits,Reported
L056,2026-07-26,B112,A2,pH-02,6.5,8.5,7.6,OK,Result within acceptance limits,Reported
L057,2026-07-27,B112,A3,pH-02,6.5,8.5,7,OK,Result within acceptance limits,Reported
L058,2026-07-28,B112,A1,pH-02,6.5,8.5,7.09,OK,Result within acceptance limits,Reported
L059,2026-07-29,B112,A2,pH-02,6.5,8.5,7.63,OK,Result within acceptance limits,Reported
L060,2026-07-30,B112,A3,pH-01,6.5,8.5,6.41,FAIL,Out-of-specification result; repeat and investigation required,OOS investigation
